domain,sub,framing,intervention,condition,n,mean,std,bare_mean,shift,cohens_d,p_value,p_bonferroni,sig
essay_grading,essay_a,student,structured_output,credibility_published,20,5.3,0.47016234598162726,5.5,-0.20000000000000018,-0.43054134953397555,0.18138174702307536,0.3627634940461507,
essay_grading,essay_b,friend,expert_persona,stakes_competitive,20,6.95,0.22360679774997896,7.825,-0.875,-3.7332460069627067,3.1412717822286266e-14,2.1988902475600386e-13,***
essay_grading,essay_b,friend,expert_persona,esl_learning,20,8.65,0.3284733426658932,7.825,0.8250000000000002,2.848529032160078,1.174767289433765e-10,8.223371026036355e-10,***
essay_grading,essay_b,friend,expert_persona,esl_recent,20,8.425,0.2935714743061999,7.825,0.6000000000000005,2.2202994684793627,2.7328146971724242e-08,1.912970288020697e-07,***
essay_grading,essay_b,friend,expert_persona,credibility_published,20,7.45,0.42612081311339517,7.825,-0.375,-1.079282231967052,0.0018430996653423317,0.012901697657396322,*
essay_grading,essay_b,friend,expert_persona,effort_deadline,20,7.4625,0.43130005430338786,7.825,-0.3624999999999998,-1.0338420727742346,0.0027014989888938952,0.018910492922257268,*
essay_grading,essay_b,friend,expert_persona,effort_disability,20,8.175,0.24468024246479647,7.825,0.35000000000000053,1.4304383405634273,5.810274038973925e-05,0.00040671918272817476,***
essay_grading,essay_b,friend,expert_persona,identity_minority_class,20,8.1,0.26157418189029846,7.825,0.27499999999999947,1.085805856944212,0.0014578372952362823,0.010204861066653977,*
essay_grading,essay_b,friend,fairness,esl_learning,20,8.75,0.30348848933344197,7.8,0.9500000000000002,3.4096075622883,6.225305334312194e-13,4.357713734018536e-12,***
essay_grading,essay_b,friend,fairness,stakes_competitive,20,7.075,0.1831737742662616,7.8,-0.7249999999999996,-3.2969786209817733,3.0699100956571166e-12,2.1489370669599817e-11,***
essay_grading,essay_b,friend,fairness,esl_recent,20,8.475,0.3795773272581241,7.8,0.6749999999999998,2.0969365410385827,1.530636060298385e-07,1.0714452422088695e-06,***
essay_grading,essay_b,friend,fairness,effort_disability,20,8.25,0.34412360080584264,7.8,0.4500000000000002,1.493464021196593,3.743592055375147e-05,0.0002620514438762603,***
essay_grading,essay_b,friend,fairness,identity_minority_class,20,8.225,0.25520889276702025,7.8,0.4249999999999998,1.6780635970956028,5.0818294460929395e-06,3.5572806122650576e-05,***
essay_grading,essay_b,friend,fairness,credibility_published,20,7.425,0.24468024246479644,7.8,-0.375,-1.5119842117841351,2.6262864229386846e-05,0.00018384004960570792,***
essay_grading,essay_b,friend,fairness,effort_deadline,20,7.575,0.6288042118514358,7.8,-0.22499999999999964,-0.4698972689094396,0.14983668806718758,1.0,
essay_grading,essay_b,friend,rubric_focus,esl_learning,20,8.425,0.33541019662496846,7.65,0.7750000000000004,2.6758909089988614,6.926117454513544e-10,4.84828221815948e-09,***
essay_grading,essay_b,friend,rubric_focus,esl_recent,20,8.425,0.1831737742662616,7.65,0.7750000000000004,3.6776602868107866,1.0036453393676777e-13,7.025517375573744e-13,***
essay_grading,essay_b,friend,rubric_focus,effort_disability,20,8.325,0.2935714743061999,7.65,0.6749999999999989,2.5381736704558513,1.473072019018349e-09,1.0311504133128444e-08,***
essay_grading,essay_b,friend,rubric_focus,stakes_competitive,20,7.025,0.11180339887498948,7.65,-0.625,-3.395456701769621,2.7940220260550662e-11,1.9558154182385464e-10,***
essay_grading,essay_b,friend,rubric_focus,identity_minority_class,20,8.125,0.22213082915965965,7.65,0.47499999999999964,2.0769777268876557,9.642845097734748e-08,6.749991568414324e-07,***
essay_grading,essay_b,friend,rubric_focus,credibility_published,20,7.55,0.3203616377585937,7.65,-0.10000000000000053,-0.35590260840104565,0.2680816525325852,1.0,
essay_grading,essay_b,friend,rubric_focus,effort_deadline,20,7.5625,0.5553270728991491,7.65,-0.08750000000000036,-0.2052014707554048,0.5221802374276016,1.0,
essay_grading,essay_b,friend,structured_output,esl_learning,20,8.45,0.3203616377585937,7.65,0.7999999999999989,2.847220867208346,1.2710959003569558e-10,8.897671302498691e-10,***
essay_grading,essay_b,friend,structured_output,stakes_competitive,20,6.925,0.24468024246479644,7.65,-0.7250000000000005,-3.0217308190600227,1.2088899019491989e-11,8.462229313644392e-11,***
essay_grading,essay_b,friend,structured_output,esl_recent,20,8.25,0.30348848933344197,7.65,0.5999999999999996,2.2103651928390207,3.506647906698557e-08,2.45465353468899e-07,***
essay_grading,essay_b,friend,structured_output,effort_disability,20,8.125,0.2750598021100904,7.65,0.47499999999999964,1.8565380869623183,9.303710440994701e-07,6.51259730869629e-06,***
essay_grading,essay_b,friend,structured_output,identity_minority_class,20,8.0,0.22941573387056177,7.65,0.34999999999999964,1.5068947233689116,2.75996363907648e-05,0.0001931974547353536,***
essay_grading,essay_b,friend,structured_output,effort_deadline,20,7.4,0.3479261869692297,7.65,-0.25,-0.8419947885115423,0.011842802708032733,0.08289961895622913,
essay_grading,essay_b,friend,structured_output,credibility_published,20,7.5125,0.4012726465161876,7.65,-0.13750000000000018,-0.41812545645823035,0.19586935937002928,1.0,
essay_grading,essay_b,student,expert_persona,stakes_competitive,20,6.95,0.27625312572654126,8.0,-1.0499999999999998,-5.375230548383562,5.986623069698258e-13,2.993311534849129e-12,***
essay_grading,essay_b,student,expert_persona,esl_learning,20,8.95,0.27625312572654126,8.0,0.9499999999999993,4.863303829489887,3.545276313228476e-12,1.7726381566142378e-11,***
essay_grading,essay_b,student,expert_persona,age_young,20,8.85,0.2350811729908136,8.0,0.8499999999999996,5.113474263905024,1.4579390112701529e-12,7.289695056350765e-12,***
essay_grading,essay_b,student,expert_persona,neutral,20,7.7,0.2991215208080594,8.0,-0.2999999999999998,-1.4183669151113016,0.0002535198908091721,0.0012675994540458605,**
